City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chicama,PE,-7.8447,-79.1469,57.74,83,43,5.57,scattered clouds
80,Nacala,MZ,-14.5428,40.6728,76.86,57,8,7.38,clear sky
81,Amapa,BR,1.0,-52.0,69.64,100,30,1.03,scattered clouds
82,Arraial Do Cabo,BR,-22.9661,-42.0278,60.66,94,75,2.3,mist
83,Kaitangata,NZ,-46.2817,169.8464,50.7,65,23,4.9,few clouds
84,Khatanga,RU,71.9667,102.5,29.79,91,76,14.81,broken clouds
85,Gimli,CA,50.6336,-96.9907,57.22,88,100,16.11,moderate rain
86,Hilo,US,19.7297,-155.09,80.28,83,100,6.91,overcast clouds
87,Susanville,US,40.4163,-120.653,62.91,39,0,9.22,clear sky
88,Tiksi,RU,71.6872,128.8694,36.55,98,100,8.01,light rain
89,Sao Filipe,CV,14.8961,-24.4956,77.83,82,16,8.61,few clouds
90,Zarubino,RU,42.63,131.0922,68.5,91,100,1.9,overcast clouds
91,Bengkulu,ID,-3.8004,102.2655,83.05,71,77,7.74,broken clouds
92,Agua Dulce,MX,18.1333,-94.1333,77.41,89,100,5.46,overcast clouds
93,Esperance,AU,-33.8667,121.9,63.3,60,22,15.03,few clouds
94,Pimentel,PE,-6.8367,-79.9342,63.34,88,100,13.71,overcast clouds
95,Mogadishu,SO,2.0371,45.3438,76.87,73,75,9.22,broken clouds
96,Saint-Philippe,RE,-21.3585,55.7679,74.79,80,42,15.84,light rain
97,Saskylakh,RU,71.9167,114.0833,34.07,98,100,21.92,snow
98,Beaverlodge,CA,55.2166,-119.4361,47.55,93,100,10.0,overcast clouds
99,Hasaki,JP,35.7333,140.8333,84.6,68,100,7.45,overcast clouds
100,Bathsheba,BB,13.2167,-59.5167,84.81,79,40,19.57,scattered clouds
101,Cherskiy,RU,68.75,161.3,37.87,68,94,18.41,overcast clouds
102,San Patricio,US,28.017,-97.5169,86.85,73,21,8.41,few clouds
103,Tottori,JP,35.5,134.2333,82.47,69,75,8.05,broken clouds
104,Wanaka,NZ,-44.7,169.15,50.07,69,100,4.32,overcast clouds
105,Chuy,UY,-33.6971,-53.4616,54.55,84,4,7.85,clear sky
106,Brownsville,US,25.9018,-97.4975,82.35,85,0,4.61,clear sky
107,Qaanaaq,GL,77.484,-69.3632,25.54,80,35,8.19,scattered clouds
108,Shache,CN,38.4167,77.2406,81.12,17,100,10.07,overcast clouds
109,Coquimbo,CL,-29.9533,-71.3436,55.13,76,100,4.61,overcast clouds
110,Faanui,PF,-16.4833,-151.75,77.77,74,60,22.24,broken clouds
111,Vao,NC,-22.6667,167.4833,71.17,72,65,17.52,broken clouds
112,Bereznik,RU,62.8551,42.7072,49.91,88,100,9.4,overcast clouds
113,Koundara,GN,12.4833,-13.3,74.39,98,100,2.75,moderate rain
114,Saint-Joseph,RE,-21.3667,55.6167,73.78,73,22,14.63,light rain
115,Novichikha,RU,52.204,81.3877,57.88,35,0,15.39,clear sky
116,Provideniya,RU,64.3833,-173.3,44.2,95,100,34.72,light rain
117,Tomatlan,MX,19.9333,-105.25,76.86,95,100,2.48,overcast clouds
118,Svetlyy,RU,54.675,20.1347,53.65,84,100,19.19,overcast clouds
